,Links,Title,Details,Price,Ratings
40,https://www.airbnb.co.in/rooms/664866454022389878?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_jCIcqRsKA29cpJOX&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Room in Goregaon East,Stay with Chetna,"₹2,739 per night",4.88 (34)
41,https://www.airbnb.co.in/rooms/917988833002062817?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_EuWwUVMRLV4deL5t&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Hotel in Versova,1 bed,"₹2,739 per night",4.75 (4)
42,https://www.airbnb.co.in/rooms/745600203553303548?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_lQyU5HPjWP5ocyvg&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Room in Versova,Stay with Arjun,", ",4.81 (16)
43,https://www.airbnb.co.in/rooms/47737832?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_L2%2F%2FjWoeCB85nv5g&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Room in Bandra - Khar,Stay with Connekt,", ",4.83 (24)
44,https://www.airbnb.co.in/rooms/755603069485296083?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_WF6QnMIYCYjCLgnS&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Flat in Versova,1 bed,"₹3,424 per night",4.3 (10)
45,https://www.airbnb.co.in/rooms/53909640?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_7SF%2BPmyzrKg2wauL&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Flat in Bandra - Khar,1 bed,"₹6,017 per night",4.8 (10)
46,https://www.airbnb.co.in/rooms/802763206660725024?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_0KfewgMyCYW%2Fcsqy&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Room in Bandra - Khar,Stay with Manisha,"₹2,847 per night, originally ₹3,337",5.0 (8)
47,https://www.airbnb.co.in/rooms/923628714452276025?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_hHWe8ibNxDII7WW3&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Shared room in Andheri East,1 bed,"₹822 per night, originally ₹1,002",New
48,https://www.airbnb.co.in/rooms/748531145835727296?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_rLFp5c3GrEFcWwSB&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Room in Colaba,Stay with Zeenat Khalid Ahmed,"₹2,296 per night, originally ₹4,553",4.62 (21)
49,https://www.airbnb.co.in/rooms/920188778667719567?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_%2Fn5V1xSrPQ9YdfYI&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Flat in Bandra - Khar,1 bed,"₹5,136 per night",New
50,https://www.airbnb.co.in/rooms/53390569?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_IYYDnsLRyWrfeuJK&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Flat in Vile Parle,2 single beds,"₹3,762 per night, originally ₹4,128",4.2 (20)
51,https://www.airbnb.co.in/rooms/44111882?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_iE0QmatdadtXQf4P&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Shared room in Santacruz West,4 bunk beds,₹999 per night,4.79 (34)
52,https://www.airbnb.co.in/rooms/42570772?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_Fs48sG43UeiIOqtK&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Place to stay in Bandra - Khar,1 double bed,"₹8,441 per night, originally ₹9,930",4.35 (26)
53,https://www.airbnb.co.in/rooms/596024144419885905?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_5tdIdmBkvgCNjwgg&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Room in Mumbai,Stay with Mukesh,", ",4.67 (3)
54,https://www.airbnb.co.in/rooms/44110985?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_FeoowupHbniqJ56G&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Shared room in Mumbai,4 bunk beds,₹999 per night,4.86 (29)
55,https://www.airbnb.co.in/rooms/52397490?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_6FyA%2FwnD2pEOQgcP&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Flat in Antarli,1 bed,"₹1,769 per night",4.82 (33)
56,https://www.airbnb.co.in/rooms/919473140376516754?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_vR9Pr4ZNPxGixc74&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Room in Mumbai,Stay with Afreen,", ",New
57,https://www.airbnb.co.in/rooms/543151329162103481?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_ZOywGxc400I17e3U&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Room in Mumbai,Stay with Rishabh,", ",4.95 (37)
58,https://www.airbnb.co.in/rooms/927084798011765093?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_%2B%2FYKea17tPtVlzli&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Flat in Mumbai,2 beds,"₹5,349 per night",New
59,https://www.airbnb.co.in/rooms/926704233991983660?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_DnsbJYEddgUFW4j2&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Place to stay in Mumbai,1 bed,"₹2,847 per night",New
60,https://www.airbnb.co.in/rooms/35711061?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_SGYdU27D86FpR1Ic&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Room in Mumbai,Stay with Kishor,", ",4.83 (24)
61,https://www.airbnb.co.in/rooms/53390569?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_RpKj1KLHAdAiq8uj&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Flat in Mumbai,2 single beds,"₹3,762 per night, originally ₹4,128",4.2 (20)
62,https://www.airbnb.co.in/rooms/690119517458567372?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_fQ0cXWZMx7HgF6wX&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Room in Mumbai,Stay with Shreyas,", ",4.85 (27)
63,https://www.airbnb.co.in/rooms/53909640?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_BXim%2FVnK1wsbsZ4d&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Flat in Mumbai,1 bed,"₹6,017 per night",4.8 (10)
64,https://www.airbnb.co.in/rooms/819526209833056101?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_%2FflRZDkM8q1E%2BJk9&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Room in Mumbai,Stay with Shubh,", ",5.0 (6)
65,https://www.airbnb.co.in/rooms/627972359878145527?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_dIXaVhBL7%2BZUWQUr&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Flat in Navi Mumbai,1 bed,"₹3,410 per night",4.83 (6)
66,https://www.airbnb.co.in/rooms/919299808985188315?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_FgNXRQtcrEM6dDH8&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Hotel in Mumbai,1 bed,"₹2,054 per night",New
67,https://www.airbnb.co.in/rooms/769411349978350709?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_kaXBVJKX9JTycWQ4&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Room in Mumbai,Stay with Shahid,", ",4.64 (11)
68,https://www.airbnb.co.in/rooms/927981663177999028?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_V8QNFCNMRY62s4qE&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Hotel in Mumbai,1 bed,"₹2,283 per night, originally ₹2,783",New
69,https://www.airbnb.co.in/rooms/727093983957269187?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579148_%2FladBj2tDYIeKK1u&previous_page_section_name=1000&federated_search_id=e5f0832f-816a-490e-a125-8dffb6411415,Apartment in Mumbai,3 beds,"₹6,000 per night",4.56 (16)
70,https://www.airbnb.co.in/rooms/690119517458567372?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579150_Dkw6Lc%2BFDjS%2B84uX&previous_page_section_name=1000&federated_search_id=6004394c-579d-4748-a0fa-3d33e2238ea7,Room in Mumbai,Stay with Shreyas,", ",4.85 (27)
71,https://www.airbnb.co.in/rooms/919299808985188315?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579150_U0TP9GJ%2BGyWMYqC8&previous_page_section_name=1000&federated_search_id=6004394c-579d-4748-a0fa-3d33e2238ea7,Hotel in Mumbai,1 bed,"₹2,054 per night",New
72,https://www.airbnb.co.in/rooms/38893127?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579150_Da2cR0Gr0fK1aR1F&previous_page_section_name=1000&federated_search_id=6004394c-579d-4748-a0fa-3d33e2238ea7,Guest suite in Mumbai,2 beds,"₹2,603 per night",4.67 (18)
73,https://www.airbnb.co.in/rooms/810653146644864184?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579150_RtQq7IywRqpaLO1u&previous_page_section_name=1000&federated_search_id=6004394c-579d-4748-a0fa-3d33e2238ea7,Bed and breakfast in Mumbai,1 bed,"₹1,301 per night",2.67 (3)
